ID,Term,Chinese,Language
145,accordion,手風琴,英
146,accordo alterato {It.},變化和弦（絃）,義
147,accordo aumentato {It.},增和弦,義
148,accordo comune alle due tonalità {It.},共通和弦（絃）；樞紐和弦（絃）；中介和弦（絃）,義
149,accordo consonante {It.},協和和弦（絃）,義
150,accordo di dominante {It.},屬和弦（絃）,義
151,accordo di nona {It.},九和弦（絃）,義
152,accordo di quarta e sesta {It.},六四和弦（絃）,義
153,accordo di sesta aumentata {It.},增六和弦（絃）,義
154,accordo di sesta {It.},六和弦（絃）,義
155,accordo di settima di dominante {It.},屬七和弦（絃）,義
156,accordo di settima diminuita {It.},減七和弦（絃）,義
157,accordo di settima maggiore {It.},大七和弦（絃）,義
158,accordo di settima minore {It.},小七和弦（絃）,義
159,accordo di settima {It.},七和弦（絃）,義
160,accordo di tonica {It.},主和弦（絃）,義
161,accordo di tredicesima {It.},十三和弦（絃）,義
162,accordo di undicesima {It.},十一和弦（絃）,義
163,accordo imperfetto {It.},不完全和弦（絃）,義
164,accordo in dissonanze {It.},不協和和弦（絃）,義
165,accordo perfetto maggiore {It.},大三和弦（絃）,義
166,accordo perfetto minore {It.},小三和弦（絃）,義
167,accordo perfetto {It.},完全和弦（絃）,義
168,accordo rivoltato {It.},轉位和弦（絃）,義
169,accordo {It.},和弦（絃）,義
170,accrescendo {It.},漸強,義
171,accuratamente {It.},細緻；精致,義
172,accuratezza {It.},精確的,義
173,accuratezzacon {It.},精確的,義
174,accusé {Fr.},強調的；加重的,法
175,acetabule {Lat.},銅鈸｛羅馬｝,拉
176,Achtel {Ger.},八分音符,德
177,Achtelnote {Ger.},八分音符,德
178,Achtelpause {Ger.},八分休止符,德
179,Achtelton {Ger.},八分音,德
180,achtzähliger Takt {Ger.},八拍子,德
181,acoustic,音響的；音響學的,英
182,acoustic bass,聲響低音｛管風琴用法｝；低音提琴｛通俗音樂用法｝,英
183,acoustic guitar,音響吉他,英
184,acoustic physiology,音響生理學,英
185,acoustics,音響學；音響效果；聲學,英
186,Acoustik {Ger.},音響學,德
187,acoustique architecturale {Fr.},建築聲響學,法
188,acoustique musicale {Fr.},音樂音響學,法
189,acoustique {Fr.},音響學,法
190,act tune,間奏曲,英
191,action,擊弦（絃）系統｛鍵盤樂器｝；鍵鈕裝置｛管樂器｝；弦高｛吉他｝,英
192,active scale-step,動音級,英
193,active tone,動音級,英
194,acustica musicale {It.},音樂音響學,義
195,acustica {It.},音響學,義
196,acute,後倚音,英
197,ad libitum {= ad lib.} {Lat.},自由的,拉
198,adagietto {It.},稍慢板,義
199,adagio assai {It.},相當的慢板,義
200,adagio {It.},慢板,義
201,adagissimo {It.},極慢板,義
202,added free part,附加自由聲部,英
203,added line,加線,英
204,added sixth,加六和弦（絃）,英
205,added sixth chord,加六和弦（絃）,英
206,added time,合成拍子,英
207,additional accompaniment,附加伴奏,英
208,additional entry,附加導入,英
209,additional voice,附加聲部,英
210,additive rhythm,附加節奏,英
211,addolcendo {It.},溫柔的,義
212,addolorato {It.},悲傷的；痛心的,義
213,Adiaphone {Gr.},音叉琴,希
214,adiaphonon {Ger.},阿迪亞封農琴｛奧地利｝,德
215,adirato {It.},憤怒的；激怒的,義
216,adjuster,微調器,英
217,aeolian bells,風鈴,英
218,Aeolian bow,風鳴弓,英
219,aeolian harp,風鳴琴,英
220,aeolian mode,伊奧利安調式,英
221,aeolian pipe,風鳴笛,英
222,aeolian scale,伊奧利安音階,英
223,aeoline,音栓（管風琴的一種）,英
224,aeolopantalon,風鳴鋼琴,英
225,aeroforo {It.},風袋,義
226,Aerophon {Ger.},風袋；氣鳴樂器,德
227,aerophone,氣鳴樂器,英
228,aerophor,風袋,英
229,aesthetic accent,美化強音,英
230,aesthetic categories,美的範疇,英
231,aesthetics of music,音樂美學,英
232,affabile {It.},和藹的；溫柔的,義
233,affaiblissant {Fr.},漸弱的,法
234,affannoso {It.},苦惱的；痛苦的；焦慮的；不安的,義
235,Affektenlehre {Ger.},情意說,德
236,affetti {It.},動人的；感性的；情意說,義
237,affetto{It.},情感；情緒,義
238,affettuoso {It.},深情的；富於情感的,義
239,affinales {Lat.},終止音,拉
240,affinalis {Lat.},終止音,拉
241,afflitto {It.},懊惱的；悲痛的,義
242,affrettando {It.},加快的；加緊的；急促的,義
243,affrettoso {It.},急迫的；匆促的,義
244,afinando {Sp.},調律法；音律,西
245,Afro-American music,非裔美人音樂,英
246,after beat,後拍音,英
247,after note,後倚音,英
248,after phrase,後句,英
249,agenda,儀式；儀式書,英
250,Agende {Ger.},儀式；儀式書,德
251,agevole {It.},輕快的；愉快的,義
252,aggiustamente {It.},嚴守節拍的,義
253,agiatamente {It.},輕鬆的；自在的,義
254,agiato {It.},輕鬆的；自在的,義
255,agilmente {Ger.},敏捷的,義
256,agitato {It.},激動的,義
257,Agnus Dei {Lat.},羔羊經,拉
258,agogic,彈性處理；速度法,英
259,agogic accent,長強音,英
260,agogica {It.},彈性處理；速度法,義
261,agogics,彈性處理；速度法,英
262,Agogik {Ger.},彈性處理；速度法,德
263,agogique {Fr.},彈性處理；速度法,法
264,agogischer Akzent {Ger.},長強音,德
265,agrément {Fr.},裝飾音,法
266,Ähnlich {Ger.},以下同；同樣的,德
267,Aida trumpet,阿依達小號,英
268,aigu ( ë ) {Fr.},尖銳的（指聲音）,法
269,air and variations,歌調變奏曲,英
270,air de caractère {Fr.},特性曲；特性作品,法
271,air de cour {Fr.},宮廷歌曲,法
272,air reed,氣簧,英
273,air varié {Fr.},歌調變奏曲,法
274,air with variation,歌調變奏曲,英
275,air {Fr.},歌；歌曲；曲調,法
276,aire {Sp.},歌；歌曲；曲調,西
277,Ais {Ger.},升Ａ,德
278,aise {Fr.},舒適的；自在的,法
279,Aisis {Ger.},重升A,德
280,Akademie {Gr.},學會；學院；音樂會,德
281,Akklamation {Ger.},歡呼歌,德
282,Akkompagnement {Ger.},伴奏,德
283,Akkord {Ger.},和弦（絃）,德
284,Akkordbezeichnung {Ger.},和弦記號,德
285,Akkordeon {Ger.},手風琴,德
286,Akkordfolge {Ger.},和弦（絃）連接,德
287,Akkordfortschreitung {Ger.},和聲進行,德
288,Akkordgitarre {Ger.},和弦（絃）吉他,德
289,Akkordton {Ger.},和聲音,德
290,Akkordverbindung {Ger.},和弦（絃）連接,德
291,Akustik {Ger.},音響學,德
292,Akzent {Ger.},重音,德
293,Akzidens {Ger.},臨時記號；變化記號,德
294,Akzidentale {Ger.},臨時記號；變化記號,德
295,al aire {Sp.},挑弦（絃）法,西
296,al fine {It.},奏至結束記號處,義
297,al loco {It.},恢復原位（升高八度之後）,義
298,al piacere {It.},隨意的,義
299,al riverso {It.},逆行的,義
300,al roverscio imitation,逆模仿,英
301,al rovescio {It.},逆行的,義
302,al segno {It.},至記號,義
303,àl'écrevisse {Fr.},逆行,法
304,Alabado {Sp.},阿拉巴多｛聖歌｝,西
305,alalá {Sp.},阿拉拉｛民歌｝,西
306,âlâp {In.},阿拉普；散板導奏,印度
307,âlâpana {In.},阿拉普；散板導奏,印度
308,alba {Fr.},晨歌,法
309,Albert system,阿伯特系統｛單簧管｝,英
310,alberti bass,阿貝提低音,英
311,albisifono {It.},阿爾比西長笛,義
312,albisiphon,阿爾比西長笛,英
313,albisiphono {It.},阿爾比西長笛,義
314,alboka,阿爾波卡管,英
315,alborada {Sp.},晨歌,西
316,album,專輯；曲輯,英
317,album leaf,冊葉,英
318,Albumblatt {Ger.},冊葉,德
319,albumleaf,冊葉,英
320,Aleatorische Musik {Ger.},機遇音樂,德
321,aleatory music,機遇音樂,英
322,alegrias {Sp.},阿列格利亞舞曲,西
323,alexander organ,亞力山大風琴,英
324,aliquot scaling,共鳴弦（絃）,英
325,Aliquot {Ger.},共鳴弦（絃）；泛音,德
326,Aliquotflügel {Ger.},共鳴弦（絃）鋼琴,德
327,all'inlterludio {It.},接間奏,義
328,all'ottava {It.},高八度,義
329,alla breve {It.},二二拍子,義
330,alla coda {It.},接尾聲（奏）,義
331,alla francese {It.},法國風的,義
332,alla gitana {It.},吉普賽風的,義
333,alla marcia {It.},進行曲風的,義
334,alla mente {It.},即興的,義
335,alla militare {It.},軍樂風格,義
336,alla polacca {It.},波蘭風的,義
337,alla riversa {It.},逆行的,義
338,alla russe {It.},俄國風的,義
339,alla spagnola {It.},西班牙風,義
340,alla tedesca {It.},德國風的,義
341,alla truca {It.},土耳其風的,義
342,alla zingara {It.},吉普賽風的,義
343,alla zingarese {It.},吉普賽風的,義
344,alla zoppa {It.},跛行節拍,義
345,alla {It.},如…的風格,義
346,allant {Fr.},進行中；繼續,法
347,allargando {It.},漸寬闊；漸慢,義
348,alle {Ger.},全部,德
349,allegramente {It.},明朗的；快樂的,義
350,allégrement {Fr.},明朗的；快樂的,法
351,allegrettissimo {It.},最快板,義
352,allegretto {It.},稍快板,義
353,allegrezza {It.},歡欣的,義
354,allegrissimo {It.},極快的快板,義
355,allegro assai {It.},相當快的快板,義
356,allegro moderato {It.},中庸的快板,義
357,allegro {It.},快板,義
358,alleluia {Lat.},阿雷路亞；阿利路亞｛頌讚曲｝,拉
359,allemande {Fr.}{It.},阿勒曼德舞曲｛德國舞曲｝,法．義
360,allentamento {It.},慢慢的,義
361,allentando {It.},漸慢,義
362,alliteration,頭韻,英
363,allitération {Fr.},頭韻,法
364,allmählich {Ger.},逐漸的,德
365,allonger {Fr.},延長,法
366,alma {Sp.},音柱,西
367,almérie {Fr.},阿爾美利琴｛魯特琴｝,法
368,alpenhorn,阿爾卑斯號,英
369,alphabetic notation,字母譜,英
370,alphorn {Ger.},阿爾卑斯號,德
371,Alt {Ger.},中音｛音域｝；女低音；中音樂器,德
372,alta {It.},阿爾塔舞曲；高的,義
373,alteratio {Lat.},變換音值,拉
374,alteration,變化音,英
375,altération {Fr.},變化音,法
376,Alteration {Ger.},變化音,德
377,alterazione {It.},變化音,義
378,altered chord,變化和弦（絃）,英
379,altered tone,變化音,英
380,alterierter Akkord,變化和弦（絃）,英
381,alternando {It.},輪番的；交替的,義
382,alternatim {Lat.},交替,拉
383,alternation,交替,英
384,alternation of time,拍子交替,英
385,alternative,交替,英
386,alternative ending,擇一結束,英
387,alternative {Fr.},交替,法
388,alternativement {Fr.},樂段交替,法
389,alternativo {It.},樂段交替,義
390,Alterschwerhörigkeit {Ger.},老人性重聽,德
391,altezza assoluto {It.},絕對音高,義
392,Altflöte {Ger.},中音長笛,德
393,Althorn{Ger.},中音號,德
394,altissimo {It.},很高,義
395,Altklarinette {Ger.},中音單簧管,德
396,alto,中音｛音域｝；女低音；中音樂器；中提琴｛法｝,英
397,alto chiave {It.},中音譜號,義
398,alto clarinet,中音單簧管,英
399,alto clé {Fr.},中音譜號,法
400,alto clef,中音譜號,英
401,alto fagotto {It.},中低音管,義
402,alto Flügelhorn {Ger.},中音富魯格號,德
403,alto flute,中音長笛,英
404,alto guitar,高音吉他,英
405,alto horn,中音號,英
406,alto moderne,次中音提琴,英
407,alto oboe,中音雙簧管,英
408,alto sax,中音薩氏管,英
409,alto saxhorn,中音薩氏號,英
410,alto saxophone,中音薩氏管,英
411,alto trombone,中音長號,英
412,Altobasso {It.},阿爾多巴索琴,義
413,Altposaune {Ger.},中音長號,德
414,altra volta {It.},再奏(唱)一次,義
415,Altrömischer Choral {Ger.},古羅馬聖歌,德
416,Altschlüssel {Ger.},中音譜號,德
417,altus {Lat.},聲部名稱,拉
418,alzamento di voce {It.},聲音提高,義
419,alzata {It.},拿起,義
420,alzate {It.},拿起,義
421,alzati {It.},拿起,義
422,alzato {It.},拿起,義
423,am Frosch {Ger.},近弓根奏,德
424,am Griffbrett {Ger.},近指板奏,德
425,am Steg {Ger.},近琴橋奏；近琴馬奏,德
426,Am {Ger.},靠近,德
427,amabile {It.},甜美的；可愛的,義
428,amarevole {It.},痛苦的；悲痛的,義
429,amarezza {It.},悲哀的；哀傷的,義
430,ambiguous chord,曖昧和弦（絃）,英
431,ambitus {Lat.},音域,拉
432,Amboss {Ger.},鐵砧｛擊樂｝,德
433,ambrosian chant,安布羅斯聖歌,英
434,Ambrosian hymn,安布羅斯讚歌,英
435,ambrosian modes,安布羅斯調式,英
436,Ambrosianischer Gesang {Ger.},安布羅斯聖歌,德
437,Ambrosianischer Lobgesang {Ger.},安布羅斯讚歌,德
438,ambrosiano canto {It.},安布羅斯聖歌,義
439,âme {Fr.},音柱,法
440,amen cadence,阿們終止,英
441,Amen {Heb.},阿們,希伯來
442,american organ,美式風琴,英
443,Amerikanische Orgel {Ger.},美式風琴,德
444,amore {It.},愛,義
445,amorevole {It.},多情的；柔情的；可愛的,義
446,amoroso {It.},深情的,義
447,Amorschall {Ger.},阿默夏爾號｛德｝,德
448,amplifer,擴大機,英
449,amplitude,振幅,英
450,anacrouse {Fr.},弱起拍,法
451,anacrusi {It.},弱起拍,義
452,analisi {It.},樂曲分析,義
453,analogue,類比,英
454,analyse {Fr.},樂曲分析,法．英
455,Analyse {Ger.},樂曲分析,德
456,analysis of composition,樂曲分析,英
457,Ānandalaharī,阿蘭達拉哈利琴,孟加拉
458,ānandalaharī {In.},桶琴,印度
459,anche à ruban{Fr.},帶簧,法
460,anche battante {Fr.},敲擊簧,法
461,anche double {Fr.},雙簧,法
462,anche libre {It.},活簧,法
463,anche {Fr.},簧,法
464,ancia battente {It.},敲擊簧,義
465,ancia doppia {It.},雙簧,義
466,ancia libera {It.},活簧,義
467,ancia {It.},簧,義
468,ancient suite,古組曲,英
469,ancora {It.},再一次,義
470,andächtig {Ger.},虔敬的,德
471,andalouse {Fr.},安達盧西亞舞曲,法
472,andaluz,安達盧西亞舞曲,英
473,andaluza {Sp.},安達盧西亞舞曲,西
474,andamento {It.},長主題(復格),義
475,andante cantabile {It.},如歌的行板,義
476,andante moderato {It.},中庸的行板,義
477,andante {It.},行板,義
478,andantino {It.},小行板,義
479,anechoic chamber,無響室,英
480,anemochord,氣鳴鋼琴,英
481,anémochorde {Fr.},氣鳴鋼琴,法
482,anémocorde {Fr.},風鳴鋼琴,法
483,anenaiki {Rus.},阿內納基唱法,俄
484,Angabe in Metronom Mälzel {Ger.},節拍器記號,德
485,angel lute,安傑利卡（天使魯特琴）,英
486,angelica {It.},安傑利卡（天使魯特琴）,義
487,angelical salutation,天使致敬,英
488,Angelika {Ger.},安傑利卡（天使魯特琴）,德
489,angélique {Fr.},安傑利卡（天使魯特琴）,法
490,angelito,天使歌（兒童葬歌）,西
491,angewandte Form {Ger.},應用曲式,德
492,angklung,搖竹(印尼樂器),英
493,anglaise {Fr.},安格雷舞曲｛英國舞曲｝,法
494,anglican chant,英格蘭聖歌,英
495,angosciosamente {It.},痛苦的；煩悶的,義
496,angoscioso {It.},痛苦；煩悶,義
497,ängstlich {Ger.},焦慮的；膽怯的,德
498,angular harp,直立式豎琴,英
499,Anhang {Ger.},附錄,德
500,anhemitonic {Gr.},無半音的,希
501,anima {It.},音柱,義
502,animando {It.},逐漸活躍的,義
503,animato {It.},生氣蓬勃的；精神煥發的,義
504,anklung,搖竹（印尼樂器）,英
505,anmutig {Ger.},優雅的；溫柔的；甜美動聽的,德
506,anonimo {It.},無名氏,義
507,Anonym {Ger.},無名氏,德
508,anonyme {Fr.},無名氏,法
509,anonymous,無名氏,英
510,anreissen {Ger.},用力的撥奏,德
511,Ansatz {Ger.},吹口；嘴型變化；起音,德
512,Ansatzrohr {Ger.},共鳴腔,德
513,Anschlag {Ger.},雙倚音（音樂學）；觸鍵（鍵盤樂器）；起奏（管、絃樂）；擊法（擊樂）,德
514,anschwellend {Ger.},漸強,德
515,Anstrich {Ger.},上弓,德
516,answer,答句,英
517,answer by augmentation,增值答句,英
518,answer by diminution,減值答句,英
519,answer by inversion,反向答句,英
520,answer in fugue,復格答句,英
521,antara {Sp.},安達拉簫｛秘魯排簫｝,西
522,antecedente phrase,前分句,英
523,antecedente {It.},前分句；導句,義
524,anthem,頌歌,英
525,anthesis,應句,英
526,anthony,對唱曲；疊句｛聖詩吟誦｝,英
527,anticipation {Fr.},先現音,英˙法
528,anticipazione {It.},先現音,義
529,antico,古代風格,英
530,antienne {Fr.},對唱曲；疊句｛聖詩吟誦｝,法
531,antifona {It.},對唱聖歌集,義
532,antifonario {It.},對唱聖歌集,義
533,Antike Zimbeln {Ger.},古鐃鈸,德
534,Antilopenhorn {Ger.},軍號角｛北德｝,德
535,antiphon,對唱曲；疊句｛聖詩吟誦｝,英
536,antiphona Beatae Mariae {Lat.},瑪莉亞讚美歌,拉
537,antiphona {Lat.},對唱聖歌集,拉
538,antiphonal psalmody,對唱聖歌,英
539,antiphonal singing,對唱,英
540,antiphonal {Lat.},對唱聖歌集,拉
541,antiphonale {Lat.},對唱聖歌集,拉
542,antiphonary {Eng.},對唱聖歌集,英
543,antiphonel {Fr.},自動樂器,法
544,antiphoner,對唱聖歌集,英
545,antiphonia {Gr.} {Lat.},八度音,希˙拉
546,Antique cymbals,古鐃鈸,英
547,antithesis and thesis,應句與起句,英
548,Antizipation {Ger.},先現音,德
549,Antwort {Ger.},答句,德
550,anvil,鐵砧｛擊樂｝,英
551,anwachsend {Ger.},漸強,德
552,Äolisch {Ger.},伊奧利安調式,德
553,Äolische {Ger.},伊奧利安調式,德
554,Äolsharfe {Ger.},風鳴琴,德
555,Aosta codex {Lat.},奧斯塔抄本,拉
556,aperto {It.},開放；清楚明晰的；寬廣的；,義
557,Apfelregal {Ger.},蘋果狀風琴管,德
558,apollinisch {Ger.},阿波羅的,德
559,Apollonicon,阿波羅自動管風琴,英
560,apotome {Gr.},大半音,希
561,apoyando {Sp.},壓弦（絃）奏法,西
562,apoyatura {Sp.},倚音,西
563,apparent movement,假現運動,英
564,appassionata {It.},熱情,義
565,appassionato {It.},熱情的,義
566,appenato {It.},悲切的,義
567,applied form,應用曲式學,英
568,applied music,實用音樂,英
569,Applikatur {Ger.},指法,德
570,appoggiando {It.},支持的；圓滑的；連貫的；延音,義
571,appoggiatura chord,倚音和弦（絃）,英
572,appoggiatura doppia {It.},雙倚音,義
573,appoggiatura lunga {It.},長倚音,義
574,appoggiatura {It.},倚音,英˙義
575,appogiature double {Fr.},雙倚音,法
576,appogiature longue {Fr.},長倚音,法
577,appogiature {Fr.},倚音,法
578,appuyé {Fr.},強調的；加重的；倚音,法
579,appuyer {Fr.},著重；加強,法
580,Apt Codex {Fr.},阿普特抄本,法
581,Äqual {Ger.},相等,德
582,aquarelle {Fr.},小曲；小品,法
583,Arabeske {Ger.},阿拉伯風,德
584,Arabesque {Fr.},阿拉伯風,法
585,Arabisches Komma {Ger.},阿拉伯音差,德
586,Arada drums,阿拉達鼓｛海地排鼓｝,英
587,arada {Sp.},阿拉達鼓｛海地排鼓｝,西
588,aragonaise {Fr.},阿拉岡舞曲,法
589,aragonesa {Sp.},阿拉岡舞曲,西
590,araine {Fr.},青銅號,法
591,arc musical {Fr.},弓琴；樂器弓,法
592,arc sonore {Fr.},弓琴；樂器弓,法
593,Arc-en-terre {Fr.},地弓琴,法
594,arcata in giù {It.},上弓,義
595,arcata in su {It.},下弓,義
596,arcata {It.},運弓；弓法,義
597,arcato {It.},用弓奏；運弓；弓法,義
598,arch form,拱形曲式,英
599,archcittern,大魯特琴,英
600,arched harp,弓形豎琴,英
601,Arched top,拱形面板,英
602,arched viall,輪擦維奧爾琴,英
603,archet {Fr.},弓,法
604,architectural acoustics,建築聲響學,英
605,archlute {Fr.},長頸魯特琴,法
606,arcicembalo {It.},古鍵盤樂器,義
607,arciliuto {It.},長頸魯特琴,義
608,arciorgano {It.},古鍵盤樂器,義
609,arco,用弓奏；弓,英
610,arco in giù {It.},下弓,義
611,arco in su {It.},上弓,義
612,ardente {It.},熱情的,義
613,Ardin,阿爾丁琴｛西非｝,英
614,arditamente {It.},大膽的；放情的,義
615,ardito {It.},有活力的,義
616,ardore {It.},熱烈；熱情,義
617,Areito {Sp.},阿瑞多舞｛西印度群島｝,西
618,Argentine accordion,阿根廷手風琴,英
619,Arghûl {Ar.},阿古管,阿拉伯
620,aria concertante {It.},音樂會詠唱調,義
621,aria d'opera {It.},歌劇詠唱調,義
622,aria di bravura {It.},炫技詠唱調,義
623,aria di coloratura {It.},花腔詠唱調,義
624,aria di corte {It.},宮廷歌曲,義
625,aria d’imitazione {It.},模仿詠唱調,義
626,aria {It.},詠唱調,英˙義
627,Arie {Ger.},詠唱調,德
628,arietta {It.},小詠唱調,義
629,arioso {It.},似詠唱調,義
630,arlecchino {It.},丑角,義
631,arlequin {Fr.},丑角,法
632,armatura {It.},調號,義
633,armature {Fr.},調號,法
634,armonia {It.},和聲；和聲學,義
635,armonica a bocca {It.},口琴,義
636,armonica a manticino {It.},手風琴,義
637,armonica {It.},玻璃琴,義
638,armónicos {Sp.},泛音,西
639,armonie essenziali {It.},基礎和聲,義
640,armonioso {It.},和諧的；協和的,義
641,armonium {It.},簧風琴,義
642,aros {Sp.},側面板,西
643,arpa cromatica {It.},半音豎琴,義
644,arpa d'Eolo {It.},風鳴琴,義
645,arpa doppia {It.},雙列弦豎琴,義
646,arpa eolia {It.},風鳴琴,義
647,arpa {It.}{Sp.},豎琴,義˙西
648,arpanetta {It.},阿帕內塔琴,義
649,arpège {Fr.},琶音,法
650,arpeggio {It.},琶音,義
651,arpeggione {It.},琶音琴,義
652,arpegio {Sp.},琶音,西
653,arpicordo {It.},阿比柯多琴,義
